,Customer Number,Customer Code,Customer Fuel Unique ID,Customer Location Unique ID,Customer Type,Customer Fuel Type,Zone - Fuel,Usable Size,Optimum Delivery - Fuel,K Factor,Previous K Factor,Previous K Factor (2nd),Last DDay,Next DDay,Run Out DDay,Allow Smart K,Smart K Predictability,Smart K Previous Predictability,Recalc K Factor,Baseload,Estimated Delivery - Fuel,Currently in Tank,% Full,Salesperson - Fuel Acct,Customer Segment,Automatic Delivery,K Factor - Winter,K Factor - Summer,K Factor - Fall,K Factor - Spring,PIDCustomerFuel1
,1000004,,4950117,1000004,Budget,,34E11,250,180,7.84,7.14,6.67,55237,56649,57197,True,0.926,0.926,True,0.00,81,169,100%,,,1,6.50,4.96,9.68,9.58,4950117
,1000009,,4950126,1000011,,,34E11,250,180,17.00,4.95,4.50,55354,58414,59604,False,,,True,0.00,30,220,88%,,,1,15.00,17.00,5.00,5.00,4950126
,1000010,,4950127,1000012,,,34E11,250,180,11.72,12.91,8.43,93520,95630,96450,True,0.878,0.878,True,0.00,93,157,100%,,,1,6.70,14.92,10.76,12.26,4950127
,1000019,,4950155,1000029,,,34E11,250,180,14.26,14.68,6.00,93376,95942,96940,True,,,True,0.00,87,163,65%,,,1,8.54,14.68,11.22,11.22,4950155
,1000031,,4950167,1000041,Budget,,34E11,250,180,10.34,8.16,7.34,93090,94951,95674,True,0.901,0.911,True,0.00,147,103,100%,,,1,7.58,10.75,8.27,10.27,4950167
,1000042,,4950178,1000052,Budget,,34E11,250,180,7.57,7.08,7.04,55461,56823,57352,True,0.928,0.954,True,0.00,55,195,100%,,,1,6.90,7.45,8.32,8.22,4950178
,1000043,,4950179,1000053,,,34E11,250,180,6.33,5.21,5.37,54879,56018,56461,True,0.92,0.92,True,0.00,158,92,100%,,,1,4.85,7.77,6.86,6.96,4950179
,1000044,,4950180,1000054,Budget,,34E11,250,180,5.83,5.45,4.95,55654,56703,57111,False,,,True,0.00,38,212,84%,,,1,5.26,5.45,5.00,5.00,4950180
,883397,,4950203,427764,,Normal,34E11,250,180,5.45,4.95,4.50,83300,82778,83159,False,,,True,0.00,1926,-1676,-841%,,,1,4.50,5.45,5.00,5.00,4950203
,1000065,,4950205,1000077,,Normal,34E11,250,180,6.60,6.00,5.45,55712,56900,57362,False,,,True,0.00,25,225,90%,,,1,7.31,6.00,5.00,5.00,4950205
,1000078,,4950219,1000091,Budget,Normal,34E11,250,180,6.00,5.45,4.95,55692,56771,57191,False,,,True,0.00,31,219,87%,,,1,5.87,5.45,5.00,5.00,4950219
,1000079,,4950220,1000092,Budget,Normal,34E11,300,220,7.26,6.60,6.00,93731,95328,95908,False,,,True,0.00,122,178,59%,,,1,7.31,6.60,5.00,5.00,4950220
,1000084,,4950225,1000097,,Normal,34E11,250,180,14.19,7.26,6.60,53975,56529,57522,True,0.871,0.871,True,0.00,134,116,100%,,,1,11.67,15.56,18.51,18.41,4950225
,1000087,,4950231,1000100,,Normal,34E11,200,180,20.00,4.50,4.50,55354,58882,59282,False,,,True,0.00,29,171,85%,,,1,13.00,20.00,5.00,5.00,4950231
,1000094,,4950238,1000107,Budget,Normal,34E11,250,180,6.60,6.00,5.45,94005,95193,95655,False,,,True,0.00,93,157,63%,,,1,6.92,6.00,5.00,5.00,4950238
,1000095,,4950239,1000108,,Normal,34E11,250,180,4.95,4.50,4.50,54774,55886,56232,False,,,True,0.00,179,71,28%,,,1,7.18,4.95,5.00,5.00,4950239
,1000108,,4950252,1000121,Budget,Normal,34E11,250,180,7.26,6.60,6.00,93987,95293,95801,False,,,True,0.00,87,163,65%,,,1,7.16,6.60,5.00,5.00,4950252
,1000109,,4950253,1000122,,Normal,34E11,250,180,7.26,6.60,6.00,93839,95145,95653,False,,,True,0.00,107,143,57%,,,1,5.60,6.60,5.00,5.00,4950253
,1000111,,4950255,1000124,,Normal,34E11,250,180,8.38,7.57,7.10,55424,56933,57519,True,0.949,0.921,True,0.00,54,196,100%,,,1,6.46,14.30,10.63,10.63,4950255
,1000128,,4950277,1000143,Budget,Normal,34E11,250,180,7.82,8.92,6.38,94297,95705,96252,True,0.945,0.89,True,0.00,41,209,100%,,,1,5.53,10.15,8.39,8.29,4950277
,1000130,,4950280,1000145,,Normal,34E11,250,180,6.93,6.93,8.98,93731,94978,95463,False,,,True,0.00,128,122,49%,,,1,3.10,6.93,5.00,5.00,4950280
,1000131,,4950282,1000146,,Normal,34E11,250,180,5.50,5.00,5.00,94586,95576,95961,False,,,True,0.00,6,244,98%,,,1,3.04,5.00,5.00,5.00,4950282
,1000146,,4950304,1000166,,Normal,34E11,250,180,10.27,9.58,10.00,55701,57549,58267,False,,,True,0.00,17,233,93%,,,1,7.63,9.58,5.00,5.00,4950304
,1000150,,4950309,1000171,,Normal,34E11,250,180,11.00,11.00,10.00,54774,56217,56987,False,,,True,0.00,149,101,40%,,,1,6.28,11.00,5.00,5.00,4950309
,1000152,,4950311,1000173,,Normal,34E11,250,180,11.00,10.00,4.50,53550,56756,57526,False,,,True,0.00,100,150,60%,,Auto Customer wants call prior to delivery,1,30.00,11.00,5.00,5.00,4950311
,1000000,,4950113,1000000,,,34E11,247,206,5.38,4.89,4.95,55512,56620,56840,False,,,True,0.00,68,179,72%,,,1,6.57,4.89,5.00,5.00,4950113
,1000171,,4950334,1000195,,Normal,34E11,250,180,9.96,9.54,8.67,94090,95882,96579,False,,,True,0.00,53,197,79%,,,1,7.32,9.54,5.00,5.00,4950334
,1000206,,4950381,1000238,Budget,Normal,34E11,250,180,8.12,10.00,4.50,54982,56349,56917,False,,,True,0.00,122,128,51%,,,1,6.86,8.12,5.00,5.00,4950381
,1000210,,4950385,1000242,,Normal,34E11,500,400,10.00,4.50,4.50,54982,58377,59377,False,,,True,0.00,150,350,70%,,,1,4.55,10.00,5.00,5.00,4950385
,1000214,,4950389,1000246,,Normal,34E11,250,180,10.00,4.50,4.50,0,-109158,-108458,False,,,True,0.00,18042,-17792,"-8,123%",,,1,4.50,10.00,5.00,5.00,4950389
,1000220,,4950395,1000255,,Normal,34E11,250,180,8.90,8.65,8.87,93653,95255,95878,False,,,True,0.00,108,142,56%,,,1,7.80,8.65,5.00,5.00,4950395
,1000239,,4950420,1000278,,Normal,34E11,250,180,10.75,9.93,10.00,93125,95009,95761,False,,,True,0.00,143,107,42%,,,1,5.74,10.75,5.00,5.00,4950420
,1000240,,4950423,1000281,,Normal,34E11,250,180,10.35,10.00,4.50,55015,56609,57333,False,,,True,0.00,109,141,56%,,,1,6.60,10.35,5.00,5.00,4950423
,1000253,,4950441,1000299,,Normal,34E11,495,412,7.76,10.00,4.50,53811,56056,56700,False,,,True,0.00,389,106,21%,,,1,4.95,7.76,5.00,5.00,4950441
,1000178,,4950341,1000202,Budget,Normal,34E11,250,180,7.97,5.77,4.84,55728,57162,57719,True,,,True,0.00,19,231,92%,,,1,4.86,7.97,6.52,6.52,4950341
,1000182,,4950346,1000206,Budget,Normal,34E11,250,180,8.66,7.12,6.25,93164,94723,95329,True,0.817,0.817,True,0.00,168,82,100%,,,1,5.98,8.73,8.21,8.11,4950346
,1000193,,4950360,1000220,Budget,Normal,34E11,450,300,4.88,4.49,5.38,93863,95327,96059,False,,,True,0.00,155,295,66%,,,1,3.93,4.49,5.00,5.00,4950360
,1000201,,4950374,1000231,,Normal,34E11,250,180,10.79,10.16,6.60,54161,56103,56858,True,0.982,0.969,True,0.00,159,91,100%,,,1,9.83,5.89,12.81,12.71,4950374
,1000261,,4950449,1000307,,Normal,34E11,250,180,12.10,11.00,10.00,92780,94749,95596,False,,,True,0.00,169,81,32%,,,1,7.99,12.10,5.00,5.00,4950449
,1000279,,4950479,1000333,Budget,Normal,34E11,250,180,9.63,10.91,5.45,94297,96030,96704,True,0.843,,True,0.00,33,217,100%,,,1,5.98,13.27,11.27,11.27,4950479
,1000305,,4950519,1000371,Budget,Normal,34E11,250,180,6.00,5.45,4.95,55692,56771,57191,False,,,True,0.00,31,219,87%,,,1,5.12,5.45,5.00,5.00,4950519
,1000310,,4950524,1000376,Budget,Normal,34E11,215,180,6.95,7.63,6.76,94204,95455,95698,True,0.91,0.843,True,0.00,59,156,100%,,,1,5.68,7.67,7.13,6.63,4950524
,1000311,,4950525,1000377,,Normal,34E11,250,180,5.45,4.95,4.50,55027,56146,56527,False,,,True,0.00,131,119,48%,,,1,7.81,5.45,5.00,5.00,4950525
,1000314,,4950530,1000382,,Normal,34E11,250,180,5.34,4.95,4.50,55015,56019,56392,False,,,True,0.00,153,97,38%,,,1,5.88,5.34,5.00,5.00,4950530
,1000318,,4950534,1000386,,Normal,34E11,500,360,4.95,4.50,4.50,54385,56358,57051,False,,,True,0.00,263,237,47%,,,1,6.00,4.95,5.00,5.00,4950534
,1000368,,4950591,1000439,,Normal,34E11,250,180,14.61,12.56,5.45,93376,96005,97027,True,0.933,0.902,True,0.00,85,165,100%,,,1,10.41,17.67,14.34,14.64,4950591
,1000369,,4950592,1000440,,Normal,34E11,250,180,4.95,4.50,4.50,55134,56155,56501,False,,,True,0.00,124,126,50%,,,1,7.89,4.95,5.00,5.00,4950592
,1000380,,4950603,1000451,Budget,Normal,34E11,250,180,5.46,10.00,4.50,55728,56710,57092,False,,0.886,True,0.00,27,223,89%,,,1,4.33,5.46,5.00,5.00,4950603
,1000382,,4950605,1000453,,Normal,34E11,250,180,10.00,4.50,4.50,93125,94885,95585,False,,,True,0.00,153,97,38%,,,1,6.00,10.00,5.00,5.00,4950605
,1000385,,4950608,1000456,,Normal,34E11,250,180,8.67,6.98,7.24,55728,57288,57894,True,,,True,0.00,17,233,93%,,,1,7.28,8.67,7.97,7.97,4950608
,1000387,,4950610,1000458,,Normal,34E11,250,180,10.52,11.00,10.00,93550,95443,96179,False,,,True,0.00,101,149,59%,,,1,6.03,11.00,5.00,5.00,4950610
,1000389,,4950612,1000460,Budget,Normal,34E11,250,180,11.00,10.00,4.50,55237,57050,57820,False,,,True,0.00,73,177,70%,,,1,6.60,11.00,5.00,5.00,4950612
,1000401,,4950639,1000484,Budget,Normal,34E11,250,180,8.69,10.00,4.50,55027,56445,57053,False,,,True,0.00,114,136,54%,,,1,6.60,8.69,5.00,5.00,4950639
,1000403,,4950641,1000486,,Normal,34E11,250,180,10.00,4.50,4.50,54614,55964,56664,False,,,True,0.00,171,79,31%,,,1,6.60,10.00,5.00,5.00,4950641
,1000405,,4950643,1000488,,Normal,34E11,250,180,12.10,11.00,10.00,93395,95573,96420,False,,,True,0.00,101,149,60%,,,1,7.26,11.00,5.00,5.00,4950643
,1000409,,4950647,1000492,,Normal,34E11,250,180,10.00,10.00,4.50,54879,56210,56910,False,,,True,0.00,147,103,41%,,,1,6.50,10.00,5.00,5.00,4950647
,1000433,,4950674,1000518,Budget,Normal,34E11,250,180,9.16,8.91,8.10,93438,95086,95727,False,,,True,0.00,129,121,48%,,,1,6.00,8.91,5.00,5.00,4950674
,1000437,,4950679,1000522,,Normal,34E11,250,180,10.00,4.50,4.50,55424,57199,57899,False,,,True,0.00,48,202,81%,,,1,7.26,10.00,5.00,5.00,4950679
,1000440,,4950682,1000525,Budget,Normal,34E11,250,180,7.27,10.00,4.50,55168,56381,56889,False,,,True,0.00,111,139,56%,,,1,5.61,7.27,5.00,5.00,4950682
,1000441,,4950683,1000526,,Normal,34E11,200,180,11.00,10.00,4.50,55771,57751,57971,False,,,True,0.00,9,191,95%,,,1,6.00,10.00,5.00,5.00,4950683
,1000453,,4950696,1000539,,Normal,34E11,250,180,12.10,11.00,10.00,93347,95525,96372,False,,,True,0.00,105,145,58%,,,1,13.50,14.50,5.00,5.00,4950696
,1000454,,4950697,1000540,,Normal,34E11,250,180,11.00,10.00,4.50,93182,95161,95931,False,,,True,0.00,130,120,48%,,,1,6.49,11.00,5.00,5.00,4950697
,1000440,,4950702,1000545,Budget,Normal,34E11,250,180,30.00,4.95,4.50,52039,57439,59539,False,,,True,0.00,128,122,49%,,,1,30.00,30.00,5.00,5.00,4950702
,1000459,,4950704,1000547,,Normal,34E11,250,180,11.12,15.00,5.45,93731,95732,96510,False,,,True,0.00,80,170,68%,,,1,12.00,15.00,5.00,5.00,4950704
,1000340,,4950560,1000410,,Normal,34E11,250,180,13.20,12.00,4.95,93779,96155,97079,False,,,True,0.00,63,187,74%,,,1,20.00,12.00,5.00,5.00,4950560
,1000486,,4950735,1000576,,Normal,34E11,250,180,4.95,4.50,4.50,55447,56344,56690,False,,,True,0.00,86,164,66%,,,1,6.00,4.95,5.00,5.00,4950735
,1000505,,4950757,1000595,Budget,Normal,34E11,250,180,4.95,4.50,4.50,54824,55953,56299,False,,,True,0.00,165,85,34%,,,1,4.70,4.95,5.00,5.00,4950757
,1000508,,4950760,1000598,,Normal,34E11,250,180,10.00,4.95,4.50,93707,95507,96207,False,,,True,0.00,91,159,64%,,,1,8.00,12.00,5.00,5.00,4950760
,1000517,,4950769,1000607,,Normal,34E11,500,400,1.90,4.50,4.50,55692,56452,56642,True,,,True,0.00,98,402,80%,,,1,1.44,1.90,5.00,5.00,4950769
,1000532,,4950784,1000622,,Normal,34E11,250,180,4.95,4.95,4.50,55447,56337,56683,False,,,True,0.00,87,163,65%,,,1,4.94,4.95,5.00,5.00,4950784
,1000541,,4950795,1000633,,Normal,34E11,250,180,5.45,4.95,4.50,94285,95265,95646,False,,,True,0.00,61,189,75%,,,1,5.37,4.50,5.00,5.00,4950795
,1000545,,4950799,1000637,,Normal,34E11,500,360,4.92,4.95,4.50,93773,95544,96232,False,,,True,0.00,172,328,66%,,,1,4.95,4.95,5.00,5.00,4950799
,1000547,,4950801,1000639,,Normal,34E11,250,180,5.45,4.95,4.50,94005,94985,95366,False,,,True,0.00,113,137,55%,,,1,4.15,4.95,5.00,5.00,4950801
,1000549,,4950803,1000641,,Normal,34E11,250,180,5.45,4.95,4.50,94586,95566,95947,False,,,True,0.00,6,244,98%,,,1,6.00,4.50,5.00,5.00,4950803
,1000559,,4950815,1000651,,Normal,34E11,250,180,8.80,8.00,4.50,94198,95782,96398,False,,,True,0.00,47,203,81%,,,1,10.00,8.00,5.00,5.00,4950815
,1000560,,4950816,1000652,,Normal,34E11,250,180,4.95,4.50,4.50,55015,55925,56271,False,,,True,0.00,170,80,32%,,,1,5.17,4.95,5.00,5.00,4950816
,1000565,,4950822,1000657,,Normal,34E11,250,180,4.50,4.50,4.50,55229,56047,56362,False,,,True,0.00,142,108,43%,,,1,4.65,4.50,5.00,5.00,4950822
,846188,,4950827,1000662,Budget,Normal,34E11,250,180,4.95,4.50,4.50,91764,92513,92859,False,,,True,0.00,152,98,-142%,,,1,4.50,4.95,5.00,5.00,4950827
,1000569,,4950830,1000665,,Normal,34E11,250,180,9.50,4.50,4.50,93857,95567,96232,False,,,True,0.00,80,170,68%,,,1,9.00,9.50,5.00,5.00,4950830
,1000580,,4950841,1000676,,Normal,34E11,250,180,10.00,4.50,4.50,93078,94801,95501,False,,,True,0.00,161,89,35%,,,1,5.75,10.00,5.00,5.00,4950841
,1000481,,4950842,1000677,,Normal,34E11,250,180,6.08,10.00,4.50,86997,87926,88351,False,,,True,0.00,919,-669,-412%,,,1,5.84,6.08,5.00,5.00,4950842
,1000587,,4950852,1000687,,Normal,34E11,250,180,10.00,4.50,4.50,55229,55960,56660,False,,,True,0.00,172,78,31%,,,1,3.45,10.00,5.00,5.00,4950852
,1000591,,4950856,1000691,,Normal,34E11,1400,1100,10.00,4.50,4.50,55424,66200,69200,False,,,True,0.00,68,1332,95%,,,1,2.20,10.00,5.00,5.00,4950856
,1000603,,4950868,1000703,,Normal,34E11,500,360,10.00,4.50,4.50,55701,58551,59951,False,,,True,0.00,92,408,81%,,,1,4.50,10.00,5.00,5.00,4950868
,1000607,,4950872,1000707,,Normal,34E11,250,180,10.00,4.50,4.50,55354,56966,57666,False,,,True,0.00,71,179,72%,,,1,4.15,10.00,5.00,5.00,4950872
,1000610,,4950875,1000710,,Normal,34E11,250,180,9.94,10.00,4.50,94547,96336,97031,False,,,True,0.00,7,243,97%,,,1,9.30,10.00,5.00,5.00,4950875
,1000619,,4950884,1000719,,Normal,34E11,250,200,10.16,10.00,4.50,93616,95648,96156,False,,,True,0.00,98,152,60%,,,1,6.00,10.00,5.00,5.00,4950884
